Sensitive Activities,Background Size,Confidence Privacy
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",2,760.8439113881732
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",3,639.8229862119173
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",4,514.4715066197581
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied')",1,37.45998794634558
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied')",2,40.00447030720927
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied')",3,33.56886503616856
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied')",4,25.39164115249102
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",1,1560844.5675011312
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",2,1546150.5634298804
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",3,1185201.419112887
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",4,807788.0205441349
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied')",1,716.1056381646613
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied')",2,721.8124849265863
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied')",3,596.578367539613
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied')",4,469.0629711219231
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",1,1561788.9180903884
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",2,1547119.735364626
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",3,1183909.7176637591
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",4,803673.3175954919
"('O_Sent (online only)', 'O_Refused', 'A_Denied', 'W_Personal Loan collection')",1,1537877.516492237
"('O_Sent (online only)', 'O_Refused', 'A_Denied', 'W_Personal Loan collection')",2,1505531.9439187918
"('O_Sent (online only)', 'O_Refused', 'A_Denied', 'W_Personal Loan collection')",3,1130795.3701723656
"('O_Sent (online only)', 'O_Refused', 'A_Denied', 'W_Personal Loan collection')",4,749232.7913962707
