Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
Release B,1,quadratic,False,False,True,0.0012367769556071036
Release B,1,quadratic,False,False,False,0.00028862880745895547
Release B,1,cubic,True,True,True,0.019188464523269628
Release B,1,cubic,True,True,False,0.00032492581254724075
Release B,1,cubic,True,False,True,2.910961136567127e-06
Release B,1,cubic,True,False,False,4.929244919235179e-08
Release B,1,cubic,False,True,True,0.4535796437586194
Release B,1,cubic,False,True,False,0.12024631042528602
Release B,1,cubic,False,False,True,6.880971188278908e-05
Release B,1,cubic,False,False,False,1.824181064822118e-05
Release B,2,basic,True,True,True,0.11691678691678696
Release B,2,basic,True,True,False,0.028475228475228456
Release B,2,basic,True,False,True,0.006235561968895305
Release B,2,basic,True,False,False,0.0015186788520121844
Release B,2,basic,False,True,True,0.6648334707171781
Release B,2,basic,False,True,False,0.1193597218213762
Release B,2,basic,False,False,True,0.035457785104916144
Release B,2,basic,False,False,False,0.0063658518304733945
Release B,2,quadratic,True,True,True,0.04401476327904899
Release B,2,quadratic,True,True,False,0.002706787832978307
Release B,2,quadratic,True,False,True,0.0001251975488826283
Release B,2,quadratic,True,False,False,7.699307613804963e-06
Release B,2,quadratic,False,True,True,0.6548509076530001
Release B,2,quadratic,False,True,False,0.10939632569001116
Release B,2,quadratic,False,False,True,0.0018626870262129793
Release B,2,quadratic,False,False,False,0.00031117177085158727
Release B,2,cubic,True,True,True,0.023062254793098893
Release B,2,cubic,True,True,False,0.0003011291832590015
Release B,2,cubic,True,False,True,3.498629467871596e-06
Release B,2,cubic,True,False,False,4.56824123936619e-08
Release B,2,cubic,False,True,True,0.6687813274177512
Release B,2,cubic,False,True,False,0.12332678189379832
Release B,2,cubic,False,False,True,0.00010145660433715225
Release B,2,cubic,False,False,False,1.8709129579148067e-05
Release B,3,basic,True,True,True,0.11317150297619046
Release B,3,basic,True,True,False,0.020261036706349208
Release B,3,basic,True,False,True,0.006035813492063492
Release B,3,basic,True,False,False,0.0010805886243386237
Release B,3,basic,False,True,True,0.7888184763541881
Release B,3,basic,False,True,False,0.1012937219181923
Release B,3,basic,False,False,True,0.04207031873888984
Release B,3,basic,False,False,False,0.005402331835636938
Release B,3,quadratic,True,True,True,0.042156750017715426
Release B,3,quadratic,True,True,False,0.0018910866343064996
Release B,3,quadratic,True,False,True,0.00011991253338372391
Release B,3,quadratic,True,False,False,5.3790908709162635e-06
Release B,3,quadratic,False,True,True,0.7776382677089475
Release B,3,quadratic,False,True,False,0.0901382206472824
Release B,3,quadratic,False,False,True,0.002211948850372109
Release B,3,quadratic,False,False,False,0.0002563931609522693
Release B,3,cubic,True,True,True,0.02126278843328625
Release B,3,cubic,True,True,False,0.00020355929839487022
Release B,3,cubic,True,False,True,3.225643756397797e-06
Release B,3,cubic,True,False,False,3.0880699489829224e-08
Release B,3,cubic,False,True,True,0.7840734766689638
Release B,3,cubic,False,True,False,0.09657347657949313
Release B,3,cubic,False,False,True,0.00011894685038652083
Release B,3,cubic,False,False,False,1.465055407665201e-05
Release B,4,basic,True,True,True,0.10129653900296123
Release B,4,basic,True,True,False,0.013095966215232274
Release B,4,basic,True,False,True,0.0054024820801579256
Release B,4,basic,True,False,False,0.0006984515314790546
Release B,4,basic,False,True,True,0.863597898048902
Release B,4,basic,False,True,False,0.07764579671674589
Release B,4,basic,False,False,True,0.04605855456260868
Release B,4,basic,False,False,False,0.004141109158226458
Release B,4,quadratic,True,True,True,0.036496046192857
Release B,4,quadratic,True,True,False,0.001157082527200482
Release B,4,quadratic,True,False,True,0.00010381097583745995
Release B,4,quadratic,True,False,False,3.291256966259145e-06
Release B,4,quadratic,False,True,True,0.8525152499561319
Release B,4,quadratic,False,True,False,0.06658249140020933
Release B,4,quadratic,False,False,True,0.0024249322665418744
Release B,4,quadratic,False,False,False,0.0001893901977605953
Release B,4,cubic,True,True,True,0.01764856736441809
Release B,4,cubic,True,True,False,0.00011781573016566453
Release B,4,cubic,True,False,True,2.677353034246532e-06
Release B,4,cubic,True,False,False,1.7873082620687467e-08
Release B,4,cubic,False,True,True,0.8539487873409982
Release B,4,cubic,False,True,False,0.06801606555841642
Release B,4,cubic,False,False,True,0.00012954719381291817
Release B,4,cubic,False,False,False,1.0318289056565718e-05
Release C,1,basic,True,True,True,0.09212698412698414
Release C,1,basic,True,True,False,0.037079365079365094
Release C,1,basic,True,False,True,0.002193499622071051
Release C,1,basic,True,False,False,0.0008828420256991688
Release C,1,basic,False,True,True,0.36434835698697043
Release C,1,basic,False,True,False,0.04694575958437306
Release C,1,basic,False,False,True,0.008674960880642155
Release C,1,basic,False,False,False,0.0011177561805803108
Release C,1,quadratic,True,True,True,0.033164444444444455
Release C,1,quadratic,True,True,False,0.005326077097505671
Release C,1,quadratic,True,False,True,1.8800705467372138e-05
Release C,1,quadratic,True,False,False,3.019318082486208e-06
Release C,1,quadratic,False,True,True,0.30247518121900324
Release C,1,quadratic,False,True,False,0.008971386312610909
Release C,1,quadratic,False,False,True,0.0001714711911672353
Release C,1,quadratic,False,False,False,5.085819905108226e-06
Release C,1,cubic,True,True,True,0.018457569880862397
Release C,1,cubic,True,True,False,0.0010259095418061412
Release C,1,cubic,True,False,True,2.4913035688454807e-07
Release C,1,cubic,True,False,False,1.3847175545380374e-08
Release C,1,cubic,False,True,True,0.28490563314067285
Release C,1,cubic,False,True,False,0.0022954419825309868
Release C,1,cubic,False,False,True,3.845503092817634e-06
Release C,1,cubic,False,False,False,3.098264202746716e-08
Release C,2,basic,True,True,True,0.11206025267249764
Release C,2,basic,True,True,False,0.03629737609329448
Release C,2,basic,True,False,True,0.0026681012541070843
Release C,2,basic,True,False,False,0.0008642232403165352
Release C,2,basic,False,True,True,0.5636695753064078
Release C,2,basic,False,True,False,0.048244818959120306
Release C,2,basic,False,False,True,0.013420704173962085
Release C,2,basic,False,False,False,0.0011486861656933413
Release C,2,quadratic,True,True,True,0.04128395575917442
Release C,2,quadratic,True,True,False,0.00559432643805822
Release C,2,quadratic,True,False,True,2.3403603038080737e-05
Release C,2,quadratic,True,False,False,3.1713868696475172e-06
Release C,2,quadratic,False,True,True,0.4939769094244184
Release C,2,quadratic,False,True,False,0.010352374150202575
Release C,2,quadratic,False,False,True,0.00028003226157846835
Release C,2,quadratic,False,False,False,5.868692828913023e-06
Release C,2,cubic,True,True,True,0.02230390214835529
Release C,2,cubic,True,True,False,0.0010824739691795092
Release C,2,cubic,True,False,True,3.010460823393165e-07
Release C,2,cubic,True,False,False,1.4610651781388475e-08
Release C,2,cubic,False,True,True,0.47192769638026827
Release C,2,cubic,False,True,False,0.002781809259754603
Release C,2,cubic,False,False,True,6.369826373775352e-06
Release C,2,cubic,False,False,False,3.7547366101859976e-08
Release C,3,basic,True,True,True,0.1082463492063492
Release C,3,basic,True,True,False,0.027431111111111125
Release C,3,basic,True,False,True,0.0025772940287226006
Release C,3,basic,True,False,False,0.0006531216931216937
Release C,3,basic,False,True,True,0.6887763447515889
Release C,3,basic,False,True,False,0.038254025737108836
Release C,3,basic,False,False,True,0.016399436779799718
