Sensitive Activities,Background Size,Confidence Privacy
"('JOIN-PAT', 'DELETE')",2,69.98275087345857
"('JOIN-PAT', 'DELETE')",3,40.14554809480338
"('JOIN-PAT', 'DELETE')",4,22.188598129119345
"('MANUAL', 'CHANGE END')",1,5400.096312528064
"('MANUAL', 'CHANGE END')",2,2059.9202736423094
"('MANUAL', 'CHANGE END')",3,689.8203833364856
"('MANUAL', 'CHANGE END')",4,265.68390168069186
"('MANUAL', 'DELETE')",1,1036.507735960408
"('MANUAL', 'DELETE')",2,379.6599647896106
"('MANUAL', 'DELETE')",3,122.2089851193378
"('MANUAL', 'DELETE')",4,46.804488294021
"('CHANGE END', 'DELETE')",1,5210.984560417777
"('CHANGE END', 'DELETE')",2,2043.4344507219125
"('CHANGE END', 'DELETE')",3,699.3966725165948
"('CHANGE END', 'DELETE')",4,269.74213120133527
"('CODE NOK', 'EMPTY', 'SET STATUS')",1,301.388505175436
"('CODE NOK', 'EMPTY', 'SET STATUS')",2,107.12372116427422
"('CODE NOK', 'EMPTY', 'SET STATUS')",3,32.98307820792528
"('CODE NOK', 'EMPTY', 'SET STATUS')",4,12.686144387267248
"('CODE NOK', 'EMPTY', 'ZDBC_BEHAN')",1,135108296.93859762
"('CODE NOK', 'EMPTY', 'ZDBC_BEHAN')",2,63081702.00504108
"('CODE NOK', 'EMPTY', 'ZDBC_BEHAN')",3,25922611.58250794
"('CODE NOK', 'EMPTY', 'ZDBC_BEHAN')",4,11320758.130124103
"('CODE NOK', 'EMPTY', 'REJECT')",1,321.4061458847573
"('CODE NOK', 'EMPTY', 'REJECT')",2,120.01491289342624
"('CODE NOK', 'EMPTY', 'REJECT')",3,40.298430128484895
"('CODE NOK', 'EMPTY', 'REJECT')",4,16.750067787106225
"('CODE NOK', 'EMPTY', 'CODE ERROR')",1,20350.340090551847
"('CODE NOK', 'EMPTY', 'CODE ERROR')",2,8833.66585365133
"('CODE NOK', 'EMPTY', 'CODE ERROR')",3,3422.1903426782837
"('CODE NOK', 'EMPTY', 'CODE ERROR')",4,1490.051345836128
"('CODE NOK', 'EMPTY', 'REOPEN')",1,302.997253410492
"('CODE NOK', 'EMPTY', 'REOPEN')",2,108.12373413544036
"('CODE NOK', 'EMPTY', 'REOPEN')",3,33.80918870512453
"('CODE NOK', 'EMPTY', 'REOPEN')",4,13.23788455152096
"('CODE NOK', 'EMPTY', 'STORNO')",1,311.5228748493481
"('CODE NOK', 'EMPTY', 'STORNO')",2,113.62907306998103
"('CODE NOK', 'EMPTY', 'STORNO')",3,37.07545508641709
"('CODE NOK', 'EMPTY', 'STORNO')",4,15.21844779264087
"('CODE NOK', 'EMPTY', 'JOIN-PAT')",1,415.42325666974443
"('CODE NOK', 'EMPTY', 'JOIN-PAT')",2,181.78223966584375
"('CODE NOK', 'EMPTY', 'JOIN-PAT')",3,76.4950014095428
"('CODE NOK', 'EMPTY', 'JOIN-PAT')",4,37.074013397043295
"('CODE NOK', 'EMPTY', 'MANUAL')",1,1105.580387567648
"('CODE NOK', 'EMPTY', 'MANUAL')",2,421.8286690773656
"('CODE NOK', 'EMPTY', 'MANUAL')",3,140.30624902192332
"('CODE NOK', 'EMPTY', 'MANUAL')",4,55.15856711080228
"('CODE NOK', 'EMPTY', 'CHANGE END')",1,5759.614885383952
"('CODE NOK', 'EMPTY', 'CHANGE END')",2,2324.1993936458634
"('CODE NOK', 'EMPTY', 'CHANGE END')",3,816.3684321914099
"('CODE NOK', 'EMPTY', 'CHANGE END')",4,325.11352766636514
"('CODE NOK', 'EMPTY', 'DELETE')",1,301.3462515256931
"('CODE NOK', 'EMPTY', 'DELETE')",2,107.0907491936867
"('CODE NOK', 'EMPTY', 'DELETE')",3,32.88420859554454
"('CODE NOK', 'EMPTY', 'DELETE')",4,12.513330616493695
"('CODE NOK', 'SET STATUS', 'ZDBC_BEHAN')",1,135108296.9737936
"('CODE NOK', 'SET STATUS', 'ZDBC_BEHAN')",2,64756437.48301737
"('CODE NOK', 'SET STATUS', 'ZDBC_BEHAN')",3,28016796.37822481
"('CODE NOK', 'SET STATUS', 'ZDBC_BEHAN')",4,13025464.648210421
"('CODE NOK', 'SET STATUS', 'REJECT')",1,118.74743707532974
